"testUnique" "testCounts"
"317" "underway" 3
"318" "determine" 15
"319" "whether" 78
"320" "total" 49
"321" "meets" 5
"322" "requirements" 7
"323" "election" 45
"324" "eligibility" 5
"325" "So" 96
"326" "while" 192
"327" "USGA" 1
"328" "stedfast" 1
"329" "its" 430
"330" "insistence" 4
"331" "Trump" 3
"332" "National" 45
"333" "Bedminster’s" 1
"334" "selection" 13
"335" "host" 19
"336" "U" 187
"337" "S" 203
"338" "Women’s" 1
"339" "Open" 16
"340" "—" 322
"341" "door" 36
"342" "appears" 23
"343" "cracked" 3
"344" "little" 130
"345" "bit" 44
"346" "now" 232
"347" "that’s" 13
"348" "asked" 79
"349" "police" 140
"350" "statement" 51
"351" "released" 50
"352" "Sunday" 75
"353" "Brown" 39
"354" "unidentified" 1
"355" "woman" 48
"356" "began" 54
"357" "arguing" 6
"358" "riding" 10
"359" "car" 79
"360" "following" 35
"361" "pre" 21
"362" "Grammy" 4
"363" "party" 47
"364" "where" 223
"365" "spotted" 9
"366" "together" 71
"367" "Saturday" 88
"368" "night" 119
"369" "fight" 32
"370" "escalated" 1
"371" "report" 92
"372" "Osama" 4
"373" "Bin" 4
"374" "Laden" 10
"375" "responsible" 15
"376" "killing" 11
"377" "343" 1
"378" "members" 91
"379" "FDNY" 1
"380" "Sept" 28
"381" "11" 161
"382" "2001" 17
"383" "commissioner" 14
"384" "Tonight" 8
"385" "firehouses" 1
"386" "throughout" 29
"387" "our" 262
"388" "grateful" 5
"389" "news" 57
"390" "thankful" 2
"391" "brave" 3
"392" "military" 28
"393" "had" 630
"394" "role" 46
"395" "successful" 19
"396" "operation" 9
"397" "Stotik" 3
"398" "auteur" 1
"399" "visionary" 2
"400" "inhabits" 2
"401" "mind" 32
"402" "strongly" 4
"403" "makes" 66
"404" "come" 135
"405" "alive" 13
"406" "through" 217
"407" "work" 204
"408" "seemingly" 8
"409" "anything" 56
"410" "else" 42
"411" "Though" 22
"412" "brilliant" 4
"413" "educated" 5
"414" "often" 70
"415" "worked" 61
"416" "labor" 15
"417" "construction" 34
"418" "jobs" 54
"419" "order" 40
"420" "living" 37
"421" "While" 63
"422" "doesn" 87
"423" "appear" 17
"424" "overprotective" 1
"425" "discreet" 1
"426" "about" 689
"427" "affairs" 4
"428" "lives" 39
"429" "North" 56
"430" "Portland" 59
"431" "wife" 46
"432" "Tammy" 1
"433" "rest" 33
"434" "family" 137
"435" "spread" 21
"436" "geographically" 1
"437" "parents" 41
"438" "live" 54
"439" "along" 80
"440" "brother" 24
"441" "Another" 25
"442" "sister" 27
"443" "reside" 1
"444" "Idaho" 5
"445" "California" 63
"446" "respectively" 5
"447" "been" 513
"448" "very" 166
"449" "efficient" 13
"450" "offensively" 3
"451" "defensively" 3
"452" "special" 62
"453" "teams" 58
"454" "wise" 6
"455" "Not" 40
"456" "refund" 2
"457" "loans" 21
"458" "entirely" 10
"459" "disappeared" 7
"460" "They" 211
"461" "still" 175
"462" "being" 161
"463" "aggressively" 3
"464" "hawked" 1
"465" "by" 952
"466" "Jackson" 12
"467" "Hewitt" 2
"468" "instance" 15
"469" "even" 189
"470" "scaled" 2
"471" "back" 251
"472" "them" 324
"473" "companies" 59
"474" "came" 117
"475" "2007" 41
"476" "created" 32
"477" "UniStar" 1
"478" "develop" 14
"479" "nuclear" 20
"480" "projects" 27
"481" "America" 53
"482" "including" 147
"483" "Calvert" 3
"484" "Cliffs" 2
"485" "aim" 1
"486" "creating" 21
"487" "renaissance" 2
"488" "30" 163
"489" "year" 604
"490" "hiatus" 1
"491" "artwork" 2
"492" "several" 99
"493" "sizes" 3
"494" "some" 334
"495" "commandingly" 1
"496" "large" 65
"497" "pieces" 22
"498" "smaller" 20
"499" "manageable" 2
"500" "Pawlowska" 1
"501" "paints" 3
"502" "wood" 9
"503" "using" 54
"504" "paint" 9
"505" "thickly" 1
"506" "layered" 3
"507" "intense" 10
"508" "vivid" 2
"509" "shades" 3
"510" "rich" 27
"511" "blue" 17
"512" "color" 16
"513" "sky" 6
"514" "mystery" 5
"515" "divine" 2
"516" "life" 106
"517" "deep" 27
"518" "red" 31
"519" "symbol" 3
"520" "gold" 8
"521" "she" 417
"522" "says" 236
"523" "her" 520
"524" "written" 24
"525" "notes" 18
"526" "regarded" 2
"527" "light" 44
"528" "Principal" 6
"529" "Todd" 10
"530" "Phillips" 3
"531" "CEO" 28
"532" "president" 94
"533" "PITTSBURGH" 1
"534" "Walking" 2
"535" "careful" 5
"536" "line" 76
"537" "Republican" 56
"538" "presidential" 23
"539" "candidate" 38
"540" "Mitt" 14
"541" "Romney" 69
"542" "Friday" 105
"543" "wanted" 75
"544" "openly" 3
"545" "gay" 21
"546" "spokesman" 28
"547" "resigned" 7
"548" "campaign" 80
"549" "week" 178
"550" "stay" 43
"551" "Hours" 5
"552" "later" 85
"553" "court" 85
"554" "conservative" 20
"555" "wing" 8
"556" "meeting" 41
"557" "former" 126
"558" "rival" 7
"559" "Rick" 18
"560" "Santorum" 25
"561" "However" 26
"562" "question" 62
"563" "public" 133
"564" "banging" 1
"565" "heads" 13
"566" "against" 164
"567" "Establishment" 1
"568" "Clause" 1
"569" "over" 310
"570" "dubious" 1
"571" "thesis" 1
"572" "Christian" 15
"573" "thought" 64
"574" "booted" 1
"575" "square" 18
"576" "God" 25
"577" "knows" 31
"578" "advent" 1
"579" "Internet" 20
"580" "Twitter" 18
"581" "avenues" 2
"582" "freedom" 11
"583" "preach" 1
"584" "proselytize" 2
"585" "hasn" 24
"586" "constrained" 3
"587" "use" 106
"588" "government" 109
"589" "venues" 6
"590" "showcase" 10
"591" "focused" 18
"592" "ideals" 1
"593" "pluralistic" 1
"594" "society" 14
"595" "Police" 41
"596" "say" 164
"597" "Honda" 7
"598" "Pilot" 1
"599" "bounced" 3
"600" "median" 5
"601" "crossed" 5
"602" "southbound" 5
"603" "lanes" 6
"604" "flew" 4
"605" "Bronx" 4
"606" "River" 29
"607" "Parkway" 9
"608" "fell" 38
"609" "than" 450
"610" "50" 77
"611" "landed" 14
"612" "upside" 2
"613" "down" 210
"614" "crashed" 4
"615" "onto" 25
"616" "part" 130
"617" "zoo" 4
"618" "property" 40
"619" "closed" 42
"620" "exhibits" 3
"621" "Gracie" 3
"622" "Murphy" 8
"623" "grader" 5
"624" "nervous" 12
"625" "started" 80
"626" "kindergarten" 5
"627" "Skokie" 1
"628" "Devonshire" 1
"629" "School" 98
"630" "didn" 111
"631" "3" 271
"632" "tablespoons" 5
"633" "balsamic" 1
"634" "vinegar" 6
"635" "Are" 10
"636" "you" 707
"637" "looking" 85
"638" "Negro" 2
"639" "afraid" 5
"640" "hotheaded" 1
"641" "Robinson" 18
"642" "once" 68
"643" "Rickey" 1
"644" "negotiated" 4
"645" "terms" 22
"646" "entrance" 10
"647" "into" 368
"648" "baseball" 33
"649" "Humvees" 1
"650" "helicopters" 1
"651" "limited" 27
"652" "Afghanistan" 15
"653" "mountains" 3
"654" "roads" 9
"655" "air" 29
"656" "thin" 14
"657" "1" 461
"658" "000" 285
"659" "pound" 18
"660" "mule" 1
"661" "or" 715
"662" "400" 41
"663" "donkey" 1
"664" "can" 518
"665" "carry" 17
"666" "load" 9
"667" "third" 121
"668" "weight" 19
"669" "if" 361
"670" "necessary" 14
"671" "Smith" 49
"672" "accurate" 8
"673" "arm" 13
"674" "pitched" 5
"675" "quarterback" 31
"676" "younger" 17
"677" "what" 345
"678" "lacks" 5
"679" "physically" 3
"680" "late" 64
"681" "Wednesday" 81
"682" "investigation" 42
"683" "centered" 2
"684" "Middlesex" 4
"685" "County" 177
"686" "county" 71
"687" "prosecutor" 14
"688" "heading" 14
"689" "child" 42
"690" "believed" 19
"691" "discovered" 10
"692" "here" 132
"693" "stranger" 2
"694" "heard" 31
"695" "crying" 5
"696" "religious" 18
"697" "rally" 9
"698" "San" 73
"699" "Francisco" 29
"700" "attracted" 5
"701" "nearly" 58
"702" "500" 69
"703" "people" 351
"704" "Bay" 32
"705" "Area" 12
"706" "vehemently" 2
"707" "opposed" 12
"708" "new" 323
"709" "federal" 105
"710" "requirement" 10
"711" "insurers" 3
"712" "provide" 47
"713" "free" 93
"714" "contraception" 9
"715" "workers" 47
"716" "These" 33
"717" "guys" 48
"718" "cold" 15
"719" "blooded" 1
"720" "killers" 1
"721" "confident" 13
"722" "done" 79
"723" "since" 167
"724" "TRENTON" 4
"725" "Jersey" 81
"726" "Supreme" 21
"727" "Court" 43
"728" "today" 101
"729" "plunged" 2
"730" "simmering" 1
"731" "battle" 27
"732" "Gov" 42
"733" "Chris" 34
"734" "Christie" 20
"735" "state’s" 4
"736" "judges" 9
"737" "how" 230
"738" "should" 139
"739" "contribute" 6
"740" "their" 622
"741" "health" 92
"742" "insurance" 22
"743" "pensions" 4
"744" "leading" 34
"745" "lash" 1
"746" "justices" 4
"747" "motivations" 2
"748" "One" 60
"749" "Population" 2
"750" "Center" 92
"751" "employee" 25
"752" "spends" 5
"753" "half" 86
"754" "world" 99
"755" "cajoling" 1
"756" "officials" 124
"757" "countries" 14
"758" "sharing" 12
"759" "sometimes" 29
"760" "crumbling" 1
"761" "census" 1
"762" "survey" 12
"763" "data" 30
"764" "floor" 33
"765" "People" 23
"766" "running" 59
"767" "everywhere" 8
"768" "don" 199
"769" "mess" 4
"770" "Harry" 6
"771" "Brock" 2
"772" "self" 23
"773" "made" 199
"774" "junk" 3
"775" "metal" 12
"776" "dealer" 6
"777" "possible" 57
"778" "wiseguy" 1
"779" "cause" 21
"780" "need" 133
"781" "no" 265
"782" "lip" 8
"783" "nobody" 6
"784" "specially" 1
"785" "Watch" 3
"786" "babe" 1
"787" "She" 135
"788" "may" 144
"789" "blond" 2
"790" "busty" 2
"791" "sound" 33
"792" "dumb" 2
"793" "judge" 29
"794" "book" 45
"795" "cover" 25
"796" "If" 188
"797" "snooze" 1
"798" "button" 10
"799" "twice" 31
"800" "probably" 46
"801" "sleep" 16
"802" "deprived" 1
"803" "expert" 15
"804" "Michael" 51
"805" "J" 60
"806" "Breus" 1
"807" "PhD" 2
"808" "clue" 3
"809" "fall" 44
"810" "asleep" 1
"811" "less" 84
"812" "minutes" 76
"813" "almost" 55
"814" "did" 178
"815" "After" 76
"816" "gut" 1
"817" "wrenching" 3
"818" "trade" 27
"819" "Detroit" 25
"820" "1960" 3
"821" "Colavito" 1
"822" "returned" 27
"823" "Municipal" 6
"824" "Stadium" 16
"825" "Tigers" 13
"826" "July" 44
"827" "5" 261
"828" "1962" 3
"829" "straight" 32
"830" "homers" 6
"831" "missing" 16
"832" "fourth" 44
"833" "monstrous" 2
"834" "upper" 10
"835" "deck" 6
"836" "15" 106
"837" "foul" 9
"838" "Princeton" 9
"839" "Borough" 2
"840" "Mayor" 22
"841" "Yina" 1
"842" "Moore" 14
"843" "Councilwomen" 1
"844" "Jenny" 2
"845" "Crumiller" 1
"846" "Jo" 6
"847" "Butler" 4
"848" "spoke" 20
"849" "plan" 89
"850" "relocate" 2
"851" "Dinky" 2
"852" "His" 90
"853" "barn" 2
"854" "any" 178
"855" "true" 31
"856" "sense" 38
"857" "community" 78
"858" "involvement" 5
"859" "encompasses" 1
"860" "entire" 22
"861" "families" 35
"862" "riders" 5
"863" "non" 25
"864" "alike" 5
"865" "Briarwood" 1
"866" "shows" 46
"867" "Jack" 12
"868" "Team" 9
"869" "participate" 16
"870" "group" 110
"871" "In" 307
"872" "sport" 14
"873" "individualistic" 1
"874" "spirit" 18
"875" "support" 66
"876" "testament" 2
"877" "essence" 3
"878" "will" 795
"879" "remembered" 8
"880" "Benson" 3
"881" "Wayne" 15
"882" "Whitbeck" 1
"883" "Barry" 5
"884" "Adams" 14
"885" "75" 40
"886" "retired" 13
"887" "teacher" 45
"888" "Oregon" 76
"889" "Zoo" 4
"890" "voted" 19
"891" "Hales" 2
"892" "think" 201
"893" "priorities" 6
"894" "bad" 60
"895" "someone" 54
"896" "“Now" 2
"897" "you’re" 7
"898" "”" 277
"899" "Sneiderman" 5
"900" "Citron" 1
"901" "according" 120
"902" "Abt" 1
"903" "next" 122
"904" "Judge" 19
"905" "Gregory" 4
"906" "approving" 2
"907" "motion" 7
"908" "prosecution" 7
"909" "barred" 4
"910" "courtroom" 7
"911" "courthouse" 6
"912" "interfering" 1
"913" "witnesses" 10
"914" "face" 54
"915" "mounting" 2
"916" "resistance" 1
"917" "state" 315
"918" "leaders" 39
"919" "critics" 7
"920" "Obama" 95
"921" "administration" 30
"922" "moved" 51
"923" "Monday" 97
"924" "ease" 11
"925" "development" 38
"926" "based" 102
"927" "exchanges" 2
"928" "key" 32
"929" "feature" 14
"930" "healthcare" 1
"931" "law" 134
"932" "1224" 1
"933" "Addison" 1
"934" "Dr" 38
"935" "22" 49
"936" "This" 183
"937" "latest" 27
"938" "change" 71
"939" "contract" 45
"940" "bring" 51
"941" "2" 349
"942" "766" 1
"943" "513" 1
"944" "60" 45
